id,value
id_0,25.701594330781678
id_1,64.45524310599428
id_2,19.409633582838147
id_3,28.542466675034202
id_4,9.27659739567066
id_5,30.172383600503895
id_6,41.598325113720314
id_7,16.367054965501005
id_8,50.771629980048786
id_9,32.6714639815439
id_10,37.781099991531114
id_11,58.401123440198454
id_12,35.796305640108756
id_13,38.046589142722624
id_14,29.00687725537876
id_15,11.945949658390095
id_16,51.362865056048925
id_17,22.688412084349213
id_18,15.50229878986791
id_19,17.450333487417556
id_20,15.484090375493466
id_21,29.49253596157754
id_22,39.97344578615417
id_23,9.980304993364275
id_24,61.405362196715316
id_25,45.8649259960195
id_26,26.517567646597534
id_27,7.511718618053266
id_28,29.369418164359526
id_29,35.55235818704227
id_30,17.637815247488028
id_31,11.522439376923456
id_32,16.58605548105428
id_33,7.574730720746132
id_34,16.04775951577349
id_35,43.57901632852959
id_36,23.03584423054825
id_37,27.817244601623024
id_38,10.442474760229526
id_39,56.95851779308152
id_40,46.00845850609655
id_41,20.54870353523366
id_42,53.49946885556898
id_43,18.533510433043773
id_44,43.70747240670743
id_45,50.064339624886
id_46,58.19284588089215
id_47,40.89290645139083
id_48,54.61910140665553
id_49,38.91136604695459
id_50,30.882917276020102
id_51,22.836877138518446
id_52,42.04929103953443
id_53,25.189498069531506
id_54,36.514072247447174
id_55,38.57861411989715
id_56,24.495447871281712
id_57,20.965081263432968
id_58,35.93661149831774
id_59,33.0435121982122
id_60,11.763134107362326
id_61,24.078617849900624
id_62,31.35809327847532
id_63,51.68635269386275
id_64,49.949378389751615
id_65,26.203642095764994
id_66,37.79406829151165
id_67,52.05871855943979
id_68,29.31047945036614
id_69,38.924006889350075
id_70,64.85053797278603
id_71,55.593308715027405
id_72,42.445196122550456
id_73,14.511282049338334
id_74,13.680329146048656
id_75,35.28395907583409
id_76,62.94693674691574
id_77,2.1942633724570157
id_78,42.27192507063157
id_79,41.69681470438957
id_80,8.799087015745872
id_81,21.07245638940314
id_82,5.947738047049581
id_83,32.06501737706499
id_84,7.957862550729955
id_85,4.968239868440584
id_86,17.07960819091533
id_87,11.755201174187434
id_88,18.138075388886637
id_89,21.89605267177575
id_90,35.42578096569333
id_91,12.459771384891289
id_92,11.503150309447891
id_93,10.644701538098788
id_94,36.87567260978202
id_95,15.175723903605864
id_96,17.305538443738225
id_97,9.1617744897878
id_98,10.491111866001209
id_99,4.837613969454809
id_100,10.2701494738241
id_101,18.774547120357507
id_102,11.345793565254086
id_103,9.17608943304589
id_104,13.007958927950066
id_105,36.580949884261
id_106,22.813336826192064
id_107,8.387361141071018
id_108,17.485112271724816
id_109,16.124866891731386
